# source_sha256=bb2bbff8be3d637b38ed5d06277856c15f41ea262614edf974be8f4b96fdc791
identifier	owner_grid	duplicate_grid
08BC86EE-B62F-4E64-A4F3-9541096F898B	NO	NT
08BD1EAE-5D7A-4B2B-BDE4-CC673E30DA80	SD	SJ
08C7EB50-F378-4996-9AA8-2E494216AAF3	SJ	SK
08D6AE63-B611-4BDB-A7EF-4651774089C4	NX	NY
08D7710B-8CAA-41B9-AA81-F9D5C7E4E9E5	SK	SP
08DC79B0-0518-4742-B8BD-3CB0C01A6EEF	SD	SJ
08E1CAD0-1BA0-4780-9EBD-B454D9A968F4	SP	SU
08E22D05-BAC9-472D-87C4-B93C79572A6A	SD	SJ
08F26D7E-1C27-45B2-AD45-8015131374DB	SS	SX
08F79D78-DE38-42BC-8E1E-3B1CD6035DE0	NJ	NK
08F828F0-FDAC-4FD2-8007-68688E10E551	TL	TM
08FB400D-25DE-411F-BC24-BFEC2FAE8F8F	SJ	SK
08FCE217-4241-49D5-A540-A57549103817	SO	ST
08FCFCF5-C479-4757-BC1D-8D85D5FBD69E	SN	SS
0920889E-6F49-4754-B4A3-87AD13FA7FBD	SD	SJ
092D21B3-B2F5-4E9D-AC91-7ACB52CFABB4	SS	ST
0934773A-4670-4F28-8B21-23318A160F8E	SO	ST
09468DC5-6502-46F5-AD23-744C4A4FD62E	SY	SZ
095A5275-5C24-4555-9CD6-61AC4B2027C1	SK	SP
095CBB85-AEB2-425D-A9CD-8FC6FDEB453D	SD	SJ
0964C40B-192A-4C7F-89A7-60A45DF9D1D0	NH	NJ
09698F3D-2D50-4C9A-9AC6-4BF2DAA2968D	SS	SX
0977BE1B-B261-4F4F-B572-947BBA6E6597	TQ	TR
098494DE-804D-435E-9F5D-AD277B2E13CC	SN	SO
09AEAF69-A809-4F78-B071-C5FA3DBDCE46	NX	NY
09B4D566-CDBD-426B-BAB1-63993C288F59	SK	TF
09C34426-A9A5-4ED2-8F59-1A62E25430F2	TL	TQ
09D3B6DA-B49A-4BFA-A588-4B86F8BC0814	NT	NU
09D6BFD9-565E-4002-88D1-7D29C14A2D1C	NJ	NK
09F16485-6C1D-4880-8A7A-6D38E33E3B21	NS	NT
09FC165B-2FF4-4735-9721-A454AE37AC25	NT	NU
09FDA48C-7D74-455B-9CC5-218189059120	ST	SU
0A04FCE8-7DF5-4171-87A1-03CEEBD5E428	NJ	NO
0A237092-A829-4BD1-B0CD-106EFDACF658	NY	SD
0A266688-FCAD-451B-868D-C08FB7D1A09C	SN	SS
0A27584D-9D5E-4373-90FA-67709AE97A4E	SJ	SO
0A32102B-CB6F-48E2-B33C-6442AED90EB5	TL	TM
0A42C9E2-79F4-465D-83F1-89FF577E39BF	SO	ST
0A47EC9C-C2E5-4E71-BABA-76FCE56C11A8	SP	TL
0A54BAC6-0C51-42B5-9906-CA3F7B07D127	SK	SP
0A5C17E9-9404-4588-9824-7E324F49682C	NJ	NK
0A5FC87B-029F-4BA1-9CC1-2EC6DA663D24	NJ	NO
0A673C07-69AE-4D1D-9863-13CAF70A081A	TG	TM
0A746435-C586-4BB0-9679-96F0F8B0A0D5	SU	TQ
0A8763B4-0A53-4696-85D5-AE837616D944	SD	SJ
0A884B08-61E6-4B8B-AADD-B8559FDB39C9	SN	SS
0A953C71-3CE5-409B-804F-3FFECD8B7606	TL	TQ
0AC30BBB-F378-4F76-B8B6-0B740C7D5B74	SO	ST
0AC6C472-B983-48FE-93BB-F5D89B817C0F	SO	ST
0AD43F3C-9AB7-43FB-999F-CB25F7ED208B	SN	SO
0AD4CCA1-09A2-46A3-9950-0A78BB7A165D	SK	TF
0AD934A4-FE81-43BF-B2C2-B42305EF0167	TL	TQ
0ADE5D63-C077-4D0C-A34C-3A90A194F3A7	SS	ST
0AEEE32A-3B04-48B4-B30F-E746B3F39B15	TL	TM
0AF931BB-D583-481C-95F0-0D1E8F2EF99A	SJ	SO
0B093BE5-67C5-49CE-AF97-EF933A09A50C	SO	SP
0B0C537B-157E-4FC9-B7B3-E38447DD9055	SD	SE
0B1DD96B-A404-471E-AB89-AD680AA25957	TL	TQ
0B212ED2-4ACE-4C8D-B454-F78B731F2ED4	SK	TF
0B2DAD85-A344-4D06-87FB-B1A2ACF8AE5A	SO	SP
0B338C86-1888-463E-8363-931B6030EEC7	NG	NH
0B38406F-FFE3-48C3-BE2B-01F12479E805	SN	SO
0B3DF555-4242-4B07-B5F3-01876362E0AF	SK	TF
0B42C9DE-152C-4ED3-8DD0-5AE588C3C739	SD	SE
0B42FCDE-6E2C-4B71-966A-07B72298A595	NR	NS
0B600BF1-E999-4455-ABE4-1911A339DCB4	SS	ST
0B75D8F0-45E7-4EB6-AAFD-D227EB45A74E	SD	SJ
0B77F6FA-CE88-42FE-95AA-885899EDF068	SD	SE
0B7D3359-A515-4B57-BA85-FC2E266C13F1	SO	ST
0B80D3FD-CB4D-43FB-9E3C-2481ABD9FA14	SE	SK
0B8FF8AB-B396-460C-B0CE-B2DFFD9B7CA7	TQ	TR
0B90648B-A8F9-45D9-8341-309FAAE826B0	SU	TQ
0B958948-19A9-42E3-AF08-6ECBDF75E494	TL	TQ
0BA328E4-CD30-4812-99C1-BF61527CC9FD	SK	TF
0BA9A6CA-5A3F-4E88-84EF-5C2E5F28962B	SS	ST
0BBE547F-692D-4638-B0DA-51B3434C1C16	NN	NS
0BC80E4B-BA1D-473E-AA87-41FE3B8F048B	ST	SY
0BCD6804-0607-4FF7-BD4B-CD1DDC1BD210	SN	SS
0BE5091A-6F12-4343-9D5C-C6A4CA8A63CF	NZ	SE
0BEA802D-6D83-411A-94EB-A0307AC78799	NS	NX
0BFB0940-B144-4E0C-848C-84B2D9B23D8B	SO	SP
0C099F5F-AADB-4ED0-8449-E6EF3ECABC83	NX	NY
0C144D7E-60FA-45B0-B357-569A7DC3860B	SK	TF
0C405658-1BF5-48A8-83E7-05A9ACD91FEB	NB	NG
0C413055-4FA9-424C-B3E1-03295A594F84	SD	SE
0C4DE160-03C6-46DC-AD3C-676FDC20B87E	SO	ST
0C4EB62C-F5BD-49B5-AD46-37BE74700122	TL	TQ
0C65C06A-377B-4A68-9623-F54A283E39A5	NX	NY
0C7A8AA4-F09B-4E6F-8709-3630DD658CFF	SD	SJ
0C7BF47A-F628-4E63-87BC-FAEBA6CB5A58	SH	SJ
0C993CE3-70FB-4D3E-96D6-59346DEF5889	ST	SY
0CA18931-62A0-4016-AC75-EAD4CC252594	SO	SP
0CA722BC-762A-482C-AD76-EA564DB2379D	SO	ST
0CA76235-3145-42BE-B311-DB32E5C0B7CB	SD	SJ
0CA84B4A-7C34-4A37-9DB5-D0984F79B2DE	SY	SZ
0CAC123D-D841-453E-A42A-7FE5A4E49FBB	SU	SZ
0CB49087-8904-4F77-A474-BAB017D7A2FE	SU	SZ
0CB560F7-BA21-4F9E-B0B7-29EB0DAF1597	SN	SO
0CB9EA8C-F317-4DF9-B2C1-164D0342217F	SJ	SK
0CC1AF43-1263-4EE2-A096-600FFBFE83A6	SJ	SO
0CCAC823-958B-45A4-8A4F-CF9DF5F78B7B	NS	NT
0CCC8D0F-B8B4-41F5-87DC-90930946FEB3	SE	TA
0CD8BB18-C4DA-48A8-A22B-2A8CD371BD73	SO	SP
0CD993F9-FB8A-4287-B470-B6C6D725248F	TG	TM
